GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gestion-station-ski,tn.esprit.spring.configs,OpenAPIConfig,50,0,0,0,14,0,5,0,5,0
gestion-station-ski,tn.esprit.spring,GestionStationSkiApplication,8,0,0,0,3,0,2,0,2,0
gestion-station-ski,tn.esprit.spring.services,InstructorServicesImpl,58,0,0,0,10,0,6,0,6,0
gestion-station-ski,tn.esprit.spring.services,SkierServicesImpl,183,0,6,0,35,0,13,0,9,0
gestion-station-ski,tn.esprit.spring.services,PisteServicesImpl,29,0,0,0,6,0,5,0,5,0
gestion-station-ski,tn.esprit.spring.services,RegistrationServicesImpl,225,0,21,0,42,0,21,0,10,0
gestion-station-ski,tn.esprit.spring.services,SubscriptionServicesImpl,148,0,6,0,24,0,13,0,9,0
gestion-station-ski,tn.esprit.spring.services,CourseServicesImpl,30,0,0,0,5,0,5,0,5,0
gestion-station-ski,tn.esprit.spring.entities,Color,44,0,0,0,2,0,1,0,1,0
gestion-station-ski,tn.esprit.spring.entities,Skier,86,0,0,0,11,0,18,0,18,0
gestion-station-ski,tn.esprit.spring.entities,TypeSubscription,34,0,0,0,2,0,1,0,1,0
gestion-station-ski,tn.esprit.spring.entities,Subscription,88,0,0,0,9,0,13,0,13,0
gestion-station-ski,tn.esprit.spring.entities,TypeCourse,34,0,0,0,2,0,1,0,1,0
gestion-station-ski,tn.esprit.spring.entities,Piste,66,0,0,0,9,0,14,0,14,0
gestion-station-ski,tn.esprit.spring.entities,Registration,73,0,0,0,8,0,11,0,11,0
gestion-station-ski,tn.esprit.spring.entities,Course,76,0,0,0,10,0,16,0,16,0
gestion-station-ski,tn.esprit.spring.entities,Support,24,0,0,0,2,0,1,0,1,0
gestion-station-ski,tn.esprit.spring.entities,Instructor,56,0,0,0,8,0,12,0,12,0
gestion-station-ski,tn.esprit.spring.controllers,CourseRestController,25,0,0,0,5,0,5,0,5,0
gestion-station-ski,tn.esprit.spring.controllers,RegistrationRestController,31,0,0,0,5,0,5,0,5,0
gestion-station-ski,tn.esprit.spring.controllers,PisteRestController,25,0,0,0,6,0,5,0,5,0
gestion-station-ski,tn.esprit.spring.controllers,SkierRestController,48,0,0,0,10,0,9,0,9,0
gestion-station-ski,tn.esprit.spring.controllers,InstructorRestController,31,0,0,0,6,0,6,0,6,0
gestion-station-ski,tn.esprit.spring.controllers,SubscriptionRestController,32,0,0,0,6,0,6,0,6,0
